time_ms,soma(0.5),trunk_sections[240](0.0),branch_sections[2185](0.0)
0.0,-7.798695736998014e-06,-7.798695736998014e-06,-3.119478294799206e-05
0.01,-7.798695736998014e-06,-7.798695736998014e-06,-3.119478294799206e-05
0.02,-7.811771342863124e-06,-7.800759613896555e-06,-3.11979483296055e-05
0.030000000000000002,-7.838885215768654e-06,-7.805576526111914e-06,-3.120506654935516e-05
0.04,-7.875244785740238e-06,-7.812952236137095e-06,-3.1215467038737855e-05
0.049999999999999996,-7.917672301195206e-06,-7.822669221236479e-06,-3.122859340254484e-05
0.05999999999999999,-7.963994876070554e-06,-7.834456626133731e-06,-3.1243984309000185e-05
0.06999999999999999,-8.01271519110724e-06,-7.848020738706464e-06,-3.126125729833474e-05
0.08,-8.062796207660823e-06,-7.863073766897502e-06,-3.1280095341270684e-05
0.09000000000000001,-8.11351521565819e-06,-7.879351032077856e-06,-3.130023568142812e-05
0.10000000000000002,-8.164364666192198e-06,-7.896618579602387e-06,-3.1321460574820484e-05
0.11000000000000003,-8.214985128736405e-06,-7.914674745432556e-06,-3.1343589605006516e-05
0.12000000000000004,-8.265120167979552e-06,-7.933348451740682e-06,-3.136647330670617e-05
0.13000000000000003,-8.314586008261222e-06,-7.95249601731105e-06,-3.138998787577412e-05
0.14000000000000004,-8.363251073269046e-06,-7.971997516882438e-06,-3.141403078094195e-05
0.15000000000000005,-8.411022068991262e-06,-7.991753233718115e-06,-3.1438517123968754e-05
0.16000000000000006,-8.457834383330561e-06,-8.011680455973052e-06,-3.146337662082419e-05
0.17000000000000007,-8.50364533242289e-06,-8.031710702655618e-06,-3.1488551098143446e-05
0.18000000000000008,-8.548429292488226e-06,-8.051787379265368e-06,-3.1513992417161594e-05
0.19000000000000009,-8.592174093068996e-06,-8.071863823486065e-06,-3.1539660752264587e-05
0.2000000000000001,-8.634878267849244e-06,-8.091901687031155e-06,-3.156552316369523e-05
0.2100000000000001,-8.676548902589268e-06,-8.111869598582305e-06,-3.159155241424705e-05
0.2200000000000001,-8.71719990965465e-06,-8.131742057713874e-06,-3.1617725988325635e-05
0.23000000000000012,-8.756850620102818e-06,-8.15149851688337e-06,-3.1644025278848056e-05
0.24000000000000013,-8.795524618297378e-06,-8.171122615999789e-06,-3.1670434913336925e-05
0.2500000000000001,-8.833248768710262e-06,-8.190601540848203e-06,-3.1696942195447235e-05
0.2600000000000001,-8.8700523992468e-06,-8.209925482414602e-06,-3.1723536642216275e-05
0.27000000000000013,-8.90596661492607e-06,-8.229087178877077e-06,-3.175020960068655e-05
0.28000000000000014,-8.941023721896542e-06,-8.248081525802339e-06,-3.177695393034095e-05
0.29000000000000015,-8.975256745844214e-06,-8.266905243052583e-06,-3.180376374010171e-05
0.30000000000000016,-9.008699031652625e-06,-8.285556589218468e-06,-3.1830634170563975e-05
0.31000000000000016,-9.04138391319101e-06,-8.304035116185142e-06,-3.1857561213726556e-05
0.3200000000000002,-9.073344443635433e-06,-8.322341457826558e-06,-3.188454156380277e-05
0.3300000000000002,-9.104613177948257e-06,-8.34047714790198e-06,-3.191157249378991e-05
0.3400000000000002,-9.135222000158724e-06,-8.358444463071548e-06,-3.1938651753384326e-05
0.3500000000000002,-9.16520198896555e-06,-8.376246287612064e-06,-3.196577748458267e-05
0.3600000000000002,-9.194583315956447e-06,-8.393885996943063e-06,-3.199294815193538e-05
0.3700000000000002,-9.223395171431315e-06,-8.411367357499214e-06,-3.2020162484936416e-05
0.3800000000000002,-9.251665713437587e-06,-8.42869444083242e-06,-3.20474194304636e-05
0.39000000000000024,-9.279422036185788e-06,-8.445871550114152e-06,-3.2074718113540696e-05
0.40000000000000024,-9.306690154516366e-06,-8.462903157448491e-06,-3.21020578049877e-05
0.41000000000000025,-9.333495001539294e-06,-8.479793850609422e-06,-3.2129437894771317e-05
0.42000000000000026,-9.359860436969687e-06,-8.496548287989525e-06,-3.215685787007124e-05
0.43000000000000027,-9.385809264039449e-06,-8.51317116069693e-06,-3.2184317297246016e-05
0.4400000000000003,-9.411363253179722e-06,-8.529667160867168e-06,-3.221181580702253e-05
0.4500000000000003,-9.436543170946071e-06,-8.546040955370432e-06,-3.2239353082349e-05
0.4600000000000003,-9.461368812900038e-06,-8.5622971641942e-06,-3.2266928848447354e-05
0.4700000000000003,-9.48585903937195e-06,-8.578440342869068e-06,-3.2294542864680915e-05
0.4800000000000003,-9.510031813211977e-06,-8.594474968383e-06,-3.2322194917919045e-05
0.4900000000000003,-9.533904238793975e-06,-8.610405428097845e-06,-3.234988481713547e-05
0.5000000000000003,-9.55749260167202e-06,-8.626236011242315e-06,-3.2377612389022344e-05
0.5100000000000003,-9.580812408404641e-06,-8.641970902609428e-06,-3.2405377474439536e-05
0.5200000000000004,-9.603878426160517e-06,-8.657614178133604e-06,-3.2433179925550315e-05
0.5300000000000004,-9.626704721802207e-06,-8.673169802064738e-06,-3.2461019603519843e-05
0.5400000000000004,-9.64930470021512e-06,-8.688641625493388e-06,-3.2488896376674903e-05
0.5500000000000004,-9.67169114170752e-06,-8.70403338601399e-06,-3.2516810119040615e-05
0.5600000000000004,-9.693876238356984e-06,-8.719348708341896e-06,-3.254476070918473e-05
0.5700000000000004,-9.71587162921966e-06,-8.73459110572522e-06,-3.2572748029312367e-05
0.5800000000000004,-9.737688434352555e-06,-8.749763982015026e-06,-3.2600771964564036e-05
0.5900000000000004,-9.759337287627165e-06,-8.764870634276732e-06,-3.26288324024781e-05
0.6000000000000004,-9.780828368335785e-06,-8.779914255843122e-06,-3.265692923258578e-05
0.6100000000000004,-9.802171431610537e-06,-8.794897939724242e-06,-3.268506234611274e-05
0.6200000000000004,-9.823375837690745e-06,-8.809824682302705e-06,-3.271323163576529e-05
0.6300000000000004,-9.844450580086313e-06,-8.82469738725472e-06,-3.274143699558431e-05
0.6400000000000005,-9.865404312695306e-06,-8.839518869647033e-06,-3.276967832085193e-05
0.6500000000000005,-9.886245375941964e-06,-8.854291860169047e-06,-3.2797955508039835e-05
0.6600000000000005,-9.906981822008424e-06,-8.869019009467184e-06,-3.282626845478916e-05
0.6700000000000005,-9.927621439238891e-06,-8.88370289255526e-06,-3.285461705991486e-05
0.6800000000000005,-9.948171775800171e-06,-8.89834601328087e-06,-3.288300122342791e-05
0.6900000000000005,-9.968640162686856e-06,-8.912950808832909e-06,-3.2911420846570744e-05
0.7000000000000005,-9.98903373616366e-06,-8.927519654280289e-06,-3.2939875831861494e-05
0.7100000000000005,-1.0009359459741515e-05,-8.942054867135939e-06,-3.296836608314438e-05
0.7200000000000005,-1.002962414578821e-05,-8.95655871194422e-06,-3.2996891505643634e-05
